Run,CPUs_used,Governor,Time_sec,Result_shape
1,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,13.21277666091919,"(4000, 4000)"
1,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,12.845940828323364,"(4000, 4000)"
1,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,17.684187650680542,"(4000, 4000)"
2,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,13.450430393218994,"(4000, 4000)"
2,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,14.190467119216919,"(4000, 4000)"
2,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,18.884788513183594,"(4000, 4000)"
3,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,14.298529863357544,"(4000, 4000)"
3,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,16.425273418426514,"(4000, 4000)"
3,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,19.100663423538208,"(4000, 4000)"
4,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,14.362765550613403,"(4000, 4000)"
4,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,16.885630130767822,"(4000, 4000)"
4,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,18.97958731651306,"(4000, 4000)"
5,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,14.308748722076416,"(4000, 4000)"
5,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,16.707837343215942,"(4000, 4000)"
5,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,20.04410719871521,"(4000, 4000)"
