Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,18.1161105632782,"(4000, 4000)"
1,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,17.734265089035034,"(4000, 4000)"
1,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,17.927179098129272,"(4000, 4000)"
1,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,17.600911617279053,"(4000, 4000)"
2,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,17.897818088531494,"(4000, 4000)"
2,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,17.989773511886597,"(4000, 4000)"
2,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,18.150259733200073,"(4000, 4000)"
2,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,18.400618076324463,"(4000, 4000)"
3,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,18.398459434509277,"(4000, 4000)"
3,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,18.35538077354431,"(4000, 4000)"
3,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,18.431963443756104,"(4000, 4000)"
3,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,18.391406536102295,"(4000, 4000)"
4,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,18.39875316619873,"(4000, 4000)"
4,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,18.349899530410767,"(4000, 4000)"
4,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,18.8936710357666,"(4000, 4000)"
4,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,18.659063816070557,"(4000, 4000)"
5,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,18.555176973342896,"(4000, 4000)"
5,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,18.241892099380493,"(4000, 4000)"
5,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,18.442299604415894,"(4000, 4000)"
5,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,19.061472415924072,"(4000, 4000)"
