Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,264.2903964519501,"(8000, 8000)"
1,2-T,"[0, 2]",performance,153.48990845680237,"(8000, 8000)"
1,2-T-HP,"[0, 1]",performance,196.91661500930786,"(8000, 8000)"
1,4-T,"[0, 2, 4, 6]",performance,93.79747438430786,"(8000, 8000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,107.0104775428772,"(8000, 8000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,103.26688885688782,"(8000, 8000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,69.43810772895813,"(8000, 8000)"
2,1-T,[0],performance,270.27052569389343,"(8000, 8000)"
2,2-T,"[0, 2]",performance,155.45039200782776,"(8000, 8000)"
2,2-T-HP,"[0, 1]",performance,198.09449005126953,"(8000, 8000)"
2,4-T,"[0, 2, 4, 6]",performance,93.16813135147095,"(8000, 8000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,107.7234456539154,"(8000, 8000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,107.4144937992096,"(8000, 8000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,68.69350290298462,"(8000, 8000)"
