Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,0.0526580810546875,"(2000, 2000)"
1,2-T,"[0, 2]",performance,0.0665121078491211,"(2000, 2000)"
1,2-T-HP,"[0, 1]",performance,0.07528996467590332,"(2000, 2000)"
1,4-T,"[0, 2, 4, 6]",performance,0.17330670356750488,"(2000, 2000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,0.11350727081298828,"(2000, 2000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.1524806022644043,"(2000, 2000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.17457938194274902,"(2000, 2000)"
2,1-T,[0],performance,0.05859208106994629,"(2000, 2000)"
2,2-T,"[0, 2]",performance,0.07796335220336914,"(2000, 2000)"
2,2-T-HP,"[0, 1]",performance,0.06261110305786133,"(2000, 2000)"
2,4-T,"[0, 2, 4, 6]",performance,0.10432934761047363,"(2000, 2000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,0.0857701301574707,"(2000, 2000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.17948126792907715,"(2000, 2000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.21535253524780273,"(2000, 2000)"
