Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number,Executed_Governor,Time_sec,Temp°C,Timestamp
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,71.6969792842865,74.0,2025-11-25T20:14:48.845490
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,91.98355865478516,73.0,2025-11-25T20:16:31.583540
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,89.79006743431091,76.0,2025-11-25T20:18:12.125621
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,90.76462888717651,72.0,2025-11-25T20:19:53.616634
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,89.19332003593445,73.0,2025-11-25T20:21:33.636383
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,91.55873322486877,72.0,2025-11-25T20:23:15.930611
EXP_0111,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],21,performance,0.13609719276428223,71.0,2025-11-25T20:23:26.262501
EXP_0420,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],30,performance,24.161552906036377,73.0,2025-11-25T20:24:00.913401
EXP_0566,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],26,performance,141.37189078330994,76.0,2025-11-25T20:26:33.111370
EXP_0078,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],18,performance,0.1370246410369873,73.0,2025-11-25T20:26:43.433673
EXP_0182,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2,performance,0.9684326648712158,72.0,2025-11-25T20:26:54.594062
EXP_0285,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],15,performance,6.225938081741333,77.0,2025-11-25T20:27:11.124017
EXP_0011,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],11,performance,0.09975361824035645,68.0,2025-11-25T20:27:21.392210
EXP_0470,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20,performance,55.74302792549133,77.0,2025-11-25T20:28:27.619207
