Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number,Executed_Governor,Time_sec,Temp°C,Timestamp
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,67.63587236404419,72.0,2025-11-26T03:32:16.436668
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,101.8282060623169,73.0,2025-11-26T03:34:09.115509
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,104.11426568031311,75.0,2025-11-26T03:36:04.047808
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,103.97296714782715,72.0,2025-11-26T03:37:58.835496
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,104.62615752220154,73.0,2025-11-26T03:39:54.271530
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,103.88185596466064,72.0,2025-11-26T03:41:49.009064
EXP_0111,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],21,performance,0.635728120803833,72.0,2025-11-26T03:42:00.685670
EXP_0420,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],30,performance,26.273483276367188,74.0,2025-11-26T03:42:37.976460
EXP_0566,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],26,performance,77.68384718894958,72.0,2025-11-26T03:44:06.621966
EXP_0078,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],18,performance,0.5164673328399658,73.0,2025-11-26T03:44:18.071100
EXP_0182,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2,performance,1.096376657485962,73.0,2025-11-26T03:44:30.075627
EXP_0285,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],15,performance,6.496288537979126,78.0,2025-11-26T03:44:47.549177
EXP_0011,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],11,performance,0.46506643295288086,72.0,2025-11-26T03:44:58.811968
EXP_0470,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20,performance,34.64466118812561,72.0,2025-11-26T03:45:44.528425
EXP_0079,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],19,performance,0.5090446472167969,75.0,2025-11-26T03:45:56.014858
EXP_0350,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20,performance,8.213631868362427,73.0,2025-11-26T03:46:15.304401
EXP_0056,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],26,performance,0.6002318859100342,74.0,2025-11-26T03:46:26.906456
EXP_0119,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],29,performance,0.6407485008239746,71.0,2025-11-26T03:46:38.576687
EXP_0110,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20,performance,0.6262245178222656,68.0,2025-11-26T03:46:50.300694
EXP_0589,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],19,performance,142.97729921340942,75.0,2025-11-26T03:49:24.376276
EXP_0370,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10,performance,27.90766191482544,74.0,2025-11-26T03:50:03.112936
EXP_0235,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],25,performance,1.437291145324707,73.0,2025-11-26T03:50:15.578612
EXP_0031,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1,performance,0.5643212795257568,75.0,2025-11-26T03:50:27.147631
EXP_0213,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3,performance,1.4072322845458984,72.0,2025-11-26T03:50:39.556549
EXP_0185,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5,performance,1.0874853134155273,72.0,2025-11-26T03:50:51.596203
EXP_0087,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],27,performance,0.4926002025604248,69.0,2025-11-26T03:51:03.051355
EXP_0003,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3,performance,0.46854400634765625,69.0,2025-11-26T03:51:14.318555
EXP_0588,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],18,performance,141.7617163658142,75.0,2025-11-26T03:53:47.110130
EXP_0536,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],26,performance,85.58814716339111,76.0,2025-11-26T03:55:23.725332
EXP_0597,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],27,performance,145.6811408996582,74.0,2025-11-26T03:58:00.500882
EXP_0369,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9,performance,27.233057260513306,74.0,2025-11-26T03:58:38.580808
EXP_0540,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],30,performance,82.10169100761414,74.0,2025-11-26T04:00:11.671284
EXP_0073,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],13,performance,0.5189552307128906,75.0,2025-11-26T04:00:23.164324
EXP_0136,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],16,performance,0.9855256080627441,73.0,2025-11-26T04:00:34.949344
EXP_0557,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],17,performance,74.34732222557068,73.0,2025-11-26T04:02:00.283664
EXP_0438,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],18,performance,25.75187611579895,75.0,2025-11-26T04:02:37.034680
EXP_0596,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],26,performance,145.12723326683044,75.0,2025-11-26T04:05:13.204722
EXP_0164,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],14,performance,1.255478858947754,81.0,2025-11-26T04:05:25.428624
EXP_0083,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],23,performance,0.5072877407073975,74.0,2025-11-26T04:05:36.914736
EXP_0258,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],18,performance,4.4152679443359375,80.0,2025-11-26T04:05:52.114772
EXP_0193,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],13,performance,1.0995845794677734,73.0,2025-11-26T04:06:04.175558
EXP_0454,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],4,performance,33.86658215522766,74.0,2025-11-26T04:06:49.132559
EXP_0133,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],13,performance,0.973635196685791,77.0,2025-11-26T04:07:00.980419
EXP_0516,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6,performance,81.90320897102356,75.0,2025-11-26T04:08:33.926058
EXP_0442,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],22,performance,26.136141777038574,73.0,2025-11-26T04:09:11.044384
EXP_0276,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6,performance,6.667309045791626,77.0,2025-11-26T04:09:28.758088
EXP_0365,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],5,performance,28.763516426086426,72.0,2025-11-26T04:10:08.344429
EXP_0030,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],30,performance,0.4668300151824951,73.0,2025-11-26T04:10:19.618625
EXP_0507,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],27,performance,96.98151469230652,72.0,2025-11-26T04:12:07.496617
EXP_0571,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],1,performance,145.20392060279846,75.0,2025-11-26T04:14:43.785439
EXP_0025,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],25,performance,0.48636436462402344,92.0,2025-11-26T04:14:55.124690
EXP_0183,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3,performance,1.10091233253479,76.0,2025-11-26T04:15:07.211126
EXP_0474,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],24,performance,35.13035559654236,75.0,2025-11-26T04:15:53.385145
EXP_0105,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],15,performance,0.6236288547515869,71.0,2025-11-26T04:16:05.131210
EXP_0064,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4,performance,0.5134186744689941,74.0,2025-11-26T04:16:16.650602
EXP_0491,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],11,performance,94.90435338020325,73.0,2025-11-26T04:18:02.368449
EXP_0246,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],6,performance,4.347906589508057,77.0,2025-11-26T04:18:17.510214
EXP_0249,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9,performance,4.381842851638794,82.0,2025-11-26T04:18:32.685412
EXP_0102,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],12,performance,0.6497902870178223,71.0,2025-11-26T04:18:44.378851
EXP_0556,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],16,performance,75.18521690368652,74.0,2025-11-26T04:20:10.571783
EXP_0592,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],22,performance,145.22315216064453,76.0,2025-11-26T04:22:46.837819
EXP_0357,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],27,performance,8.030495405197144,77.0,2025-11-26T04:23:05.956625
EXP_0210,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],30,performance,1.0867149829864502,80.0,2025-11-26T04:23:18.044599
EXP_0166,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],16,performance,1.345381736755371,76.0,2025-11-26T04:23:30.423243
EXP_0138,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],18,performance,0.9780409336090088,74.0,2025-11-26T04:23:42.258976
EXP_0196,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],16,performance,1.0741467475891113,75.0,2025-11-26T04:23:54.318645
EXP_0077,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],17,performance,0.5126371383666992,71.0,2025-11-26T04:24:05.789856
EXP_0177,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],27,performance,1.2464187145233154,72.0,2025-11-26T04:24:18.023452
EXP_0330,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],30,performance,5.37908411026001,77.0,2025-11-26T04:24:34.306632
EXP_0537,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],27,performance,77.12305641174316,75.0,2025-11-26T04:26:02.422434
EXP_0549,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],9,performance,78.34360313415527,74.0,2025-11-26T04:27:31.779298
EXP_0071,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],11,performance,0.504706859588623,73.0,2025-11-26T04:27:43.271596
EXP_0562,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],22,performance,76.6215386390686,73.0,2025-11-26T04:29:10.838269
EXP_0590,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20,performance,145.22653126716614,76.0,2025-11-26T04:31:47.103560
EXP_0082,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],22,performance,0.5063958168029785,77.0,2025-11-26T04:31:58.613597
EXP_0317,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],17,performance,5.354694604873657,79.0,2025-11-26T04:32:14.949428
EXP_0305,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5,performance,5.314047574996948,79.0,2025-11-26T04:32:31.164581
EXP_0007,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],7,performance,0.4652111530303955,74.0,2025-11-26T04:32:42.481316
EXP_0424,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4,performance,20.574939966201782,75.0,2025-11-26T04:33:14.051599
EXP_0375,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],15,performance,27.96204900741577,72.0,2025-11-26T04:33:52.852577
EXP_0430,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],10,performance,25.660316705703735,73.0,2025-11-26T04:34:29.521693
EXP_0538,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],28,performance,82.5364921092987,73.0,2025-11-26T04:36:03.055552
EXP_0313,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],13,performance,5.334349870681763,79.0,2025-11-26T04:36:19.374629
EXP_0239,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],29,performance,1.423543930053711,73.0,2025-11-26T04:36:31.879654
EXP_0560,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],20,performance,77.3703441619873,77.0,2025-11-26T04:38:00.280431
EXP_0433,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],13,performance,25.914551496505737,73.0,2025-11-26T04:38:37.193626
EXP_0287,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],17,performance,6.502387523651123,77.0,2025-11-26T04:38:54.745893
EXP_0427,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7,performance,28.093815326690674,73.0,2025-11-26T04:39:33.797678
EXP_0599,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],29,performance,145.3657510280609,75.0,2025-11-26T04:42:10.245806
EXP_0362,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],2,performance,29.047215938568115,74.0,2025-11-26T04:42:50.143743
EXP_0074,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],14,performance,0.5085656642913818,73.0,2025-11-26T04:43:01.655229
EXP_0040,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10,performance,0.5537643432617188,75.0,2025-11-26T04:43:13.208061
