Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number,Executed_Governor,Time_sec,Temp°C,Timestamp
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,2.54276704788208,42.0,2025-11-26T13:18:02.673422
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,2.513193368911743,43.0,2025-11-26T13:18:15.963537
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,2.527550220489502,43.0,2025-11-26T13:18:29.291948
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,2.5757360458374023,44.0,2025-11-26T13:18:42.640600
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,2.560602903366089,45.0,2025-11-26T13:18:55.988652
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,2.552340030670166,47.0,2025-11-26T13:19:09.318737
EXP_0111,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],21,performance,0.04275012016296387,41.0,2025-11-26T13:19:19.557552
EXP_0420,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],30,performance,2.239429473876953,44.0,2025-11-26T13:19:32.588658
EXP_0566,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],26,performance,5.587334394454956,45.0,2025-11-26T13:19:48.954593
EXP_0078,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],18,performance,0.02130603790283203,40.0,2025-11-26T13:19:59.175019
EXP_0182,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2,performance,0.11075997352600098,40.0,2025-11-26T13:20:09.513008
EXP_0285,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],15,performance,0.6644628047943115,43.0,2025-11-26T13:20:20.595579
EXP_0011,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],11,performance,0.012508869171142578,40.0,2025-11-26T13:20:30.765566
EXP_0470,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20,performance,2.6234381198883057,44.0,2025-11-26T13:20:43.884647
EXP_0079,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],19,performance,0.0216219425201416,40.0,2025-11-26T13:20:54.101047
EXP_0350,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20,performance,2.0457279682159424,41.0,2025-11-26T13:21:06.600187
EXP_0056,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],26,performance,0.014478445053100586,40.0,2025-11-26T13:21:16.771370
EXP_0119,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],29,performance,0.019267797470092773,39.0,2025-11-26T13:21:26.973065
EXP_0110,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20,performance,0.02301478385925293,39.0,2025-11-26T13:21:37.193639
EXP_0589,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],19,performance,5.968109130859375,45.0,2025-11-26T13:21:54.488535
EXP_0370,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10,performance,2.4011638164520264,45.0,2025-11-26T13:22:07.681480
EXP_0235,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],25,performance,0.10805320739746094,41.0,2025-11-26T13:22:18.008747
EXP_0031,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1,performance,0.016003847122192383,40.0,2025-11-26T13:22:28.194622
EXP_0213,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3,performance,0.10735392570495605,39.0,2025-11-26T13:22:38.510443
EXP_0185,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5,performance,0.09943890571594238,39.0,2025-11-26T13:22:48.861543
EXP_0087,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],27,performance,0.02135920524597168,40.0,2025-11-26T13:22:59.074592
EXP_0003,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3,performance,0.01648116111755371,39.0,2025-11-26T13:23:09.261794
EXP_0588,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],18,performance,10.255076169967651,42.0,2025-11-26T13:23:30.307808
EXP_0536,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],26,performance,5.274276971817017,45.0,2025-11-26T13:23:46.858592
EXP_0597,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],27,performance,5.997197866439819,47.0,2025-11-26T13:24:03.640731
EXP_0369,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9,performance,2.3992040157318115,47.0,2025-11-26T13:24:16.835643
EXP_0540,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],30,performance,4.058007478713989,51.0,2025-11-26T13:24:31.670999
EXP_0073,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],13,performance,0.019776582717895508,45.0,2025-11-26T13:24:41.879944
EXP_0136,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],16,performance,0.09694170951843262,44.0,2025-11-26T13:24:52.206578
