Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,41.68444347381592,"(6000, 6000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,43.185126066207886,"(6000, 6000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,54.15520215034485,"(6000, 6000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,51.88764548301697,"(6000, 6000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,50.87041521072388,"(6000, 6000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,53.09170150756836,"(6000, 6000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,55.11672115325928,"(6000, 6000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,54.26304268836975,"(6000, 6000)"
3,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,53.76853704452515,"(6000, 6000)"
3,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,56.40800666809082,"(6000, 6000)"
3,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,55.273478746414185,"(6000, 6000)"
3,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,56.59604477882385,"(6000, 6000)"
4,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,56.160022497177124,"(6000, 6000)"
4,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,55.05627751350403,"(6000, 6000)"
4,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,58.2861864566803,"(6000, 6000)"
4,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,58.5447723865509,"(6000, 6000)"
5,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,56.01138091087341,"(6000, 6000)"
5,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,55.47864389419556,"(6000, 6000)"
5,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,58.25042390823364,"(6000, 6000)"
5,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,57.2084105014801,"(6000, 6000)"
6,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,55.747671365737915,"(6000, 6000)"
6,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,55.71815848350525,"(6000, 6000)"
6,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,57.34925866127014,"(6000, 6000)"
6,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,59.47414231300354,"(6000, 6000)"
7,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,55.650338888168335,"(6000, 6000)"
7,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,56.13977551460266,"(6000, 6000)"
7,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,55.451292991638184,"(6000, 6000)"
7,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,58.793994188308716,"(6000, 6000)"
8,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,56.460962772369385,"(6000, 6000)"
8,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,55.86502385139465,"(6000, 6000)"
8,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,57.70785665512085,"(6000, 6000)"
8,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,57.911749839782715,"(6000, 6000)"
9,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,57.238280057907104,"(6000, 6000)"
9,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,56.21206784248352,"(6000, 6000)"
9,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,57.95716643333435,"(6000, 6000)"
9,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,58.85159969329834,"(6000, 6000)"
10,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,54.84988307952881,"(6000, 6000)"
10,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,56.40484309196472,"(6000, 6000)"
10,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,58.061867237091064,"(6000, 6000)"
10,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,57.68775653839111,"(6000, 6000)"
