Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.9533247947692871,"(2000, 2000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.7636241912841797,"(2000, 2000)"
3,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.7226202487945557,"(2000, 2000)"
4,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.7787253856658936,"(2000, 2000)"
5,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.7440609931945801,"(2000, 2000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.1721832752227783,"(2000, 2000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.0388610363006592,"(2000, 2000)"
3,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.0305957794189453,"(2000, 2000)"
4,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.0432379245758057,"(2000, 2000)"
5,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.9995627403259277,"(2000, 2000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.9523506164550781,"(2000, 2000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.9140024185180664,"(2000, 2000)"
3,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.9250648021697998,"(2000, 2000)"
4,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.8643395900726318,"(2000, 2000)"
5,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.8949999809265137,"(2000, 2000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.6343743801116943,"(2000, 2000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.4796383380889893,"(2000, 2000)"
3,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.4026591777801514,"(2000, 2000)"
4,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.4366369247436523,"(2000, 2000)"
5,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.4408199787139893,"(2000, 2000)"
