Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0
EXP_WARMUP,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0
EXP_0111,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],21
EXP_0420,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],30
EXP_0566,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],26
EXP_0078,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],18
EXP_0182,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2
EXP_0285,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],15
EXP_0011,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],11
EXP_0470,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20
EXP_0079,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],19
EXP_0350,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20
EXP_0056,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],26
EXP_0119,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],29
EXP_0110,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20
EXP_0589,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],19
EXP_0370,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10
EXP_0235,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],25
EXP_0031,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1
EXP_0213,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3
EXP_0185,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5
EXP_0087,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],27
EXP_0003,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3
EXP_0588,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],18
EXP_0536,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],26
EXP_0597,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],27
EXP_0369,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9
EXP_0540,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],30
EXP_0073,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],13
EXP_0136,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],16
EXP_0557,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],17
EXP_0438,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],18
EXP_0596,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],26
EXP_0164,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],14
EXP_0083,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],23
EXP_0258,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],18
EXP_0193,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],13
EXP_0454,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],4
EXP_0133,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],13
EXP_0516,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6
EXP_0442,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],22
EXP_0276,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6
EXP_0365,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],5
EXP_0030,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],30
EXP_0507,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],27
EXP_0571,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],1
EXP_0025,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],25
EXP_0183,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3
EXP_0474,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],24
EXP_0105,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],15
EXP_0064,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4
EXP_0491,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],11
EXP_0246,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],6
EXP_0249,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9
EXP_0102,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],12
EXP_0556,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],16
EXP_0592,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],22
EXP_0357,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],27
EXP_0210,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],30
EXP_0166,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],16
EXP_0138,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],18
EXP_0196,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],16
EXP_0077,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],17
EXP_0177,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],27
EXP_0330,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],30
EXP_0537,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],27
EXP_0549,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],9
EXP_0071,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],11
EXP_0562,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],22
EXP_0590,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20
EXP_0082,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],22
EXP_0317,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],17
EXP_0305,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5
EXP_0007,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],7
EXP_0424,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4
EXP_0375,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],15
EXP_0430,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],10
EXP_0538,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],28
EXP_0313,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],13
EXP_0239,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],29
EXP_0560,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],20
EXP_0433,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],13
EXP_0287,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],17
EXP_0427,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7
EXP_0599,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],29
EXP_0362,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],2
EXP_0074,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],14
EXP_0040,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10
EXP_0156,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6
EXP_0219,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],9
EXP_0371,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],11
EXP_0211,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],1
EXP_0236,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],26
EXP_0547,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7
EXP_0061,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1
EXP_0301,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1
EXP_0260,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],20
EXP_0281,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],11
EXP_0229,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],19
EXP_0012,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],12
EXP_0413,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],23
EXP_0084,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],24
EXP_0091,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],1
EXP_0209,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],29
EXP_0539,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],29
EXP_0336,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],6
EXP_0080,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],20
EXP_0435,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],15
EXP_0141,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],21
EXP_0282,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],12
EXP_0269,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],29
EXP_0415,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],25
EXP_0200,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],20
EXP_0465,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],15
EXP_0576,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],6
EXP_0585,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],15
EXP_0372,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],12
EXP_0400,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10
EXP_0341,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],11
EXP_0149,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],29
EXP_0495,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],15
EXP_0440,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],20
EXP_0146,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],26
EXP_0010,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10
EXP_0376,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],16
EXP_0524,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],14
