Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number
EXP_0106,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],1
EXP_0109,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],7
EXP_0142,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10
EXP_0056,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],8
EXP_0095,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],6
EXP_0030,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5
EXP_0102,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],10
EXP_0052,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],2
EXP_0101,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],6
EXP_0143,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],8
EXP_0020,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],7
EXP_0085,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],7
EXP_0016,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],1
EXP_0067,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1
EXP_0025,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],2
EXP_0031,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],7
EXP_0129,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1
EXP_0148,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4
EXP_0099,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],4
EXP_0017,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9
EXP_0076,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],9
EXP_0019,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],9
EXP_0013,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6
EXP_0010,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3
EXP_0032,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],9
EXP_0152,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],5
EXP_0098,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],9
EXP_0057,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],7
EXP_0132,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],5
EXP_0105,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],6
EXP_0137,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9
EXP_0079,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],6
EXP_0061,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],5
EXP_0116,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],4
EXP_0003,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2
EXP_0124,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],8
EXP_0046,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],7
EXP_0043,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3
EXP_0070,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],1
EXP_0091,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],4
EXP_0027,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],8
EXP_0139,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2
EXP_0083,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],10
EXP_0097,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],9
EXP_0147,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1
EXP_0037,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],6
EXP_0082,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],10
EXP_0023,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],3
EXP_0144,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],1
EXP_0068,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6
EXP_0115,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],2
EXP_0012,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],5
EXP_0066,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],9
EXP_0086,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],6
EXP_0007,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2
EXP_0028,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],7
EXP_0077,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],1
EXP_0140,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],8
EXP_0127,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],9
EXP_0042,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],9
EXP_0005,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],5
EXP_0136,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],9
EXP_0033,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1
EXP_0128,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3
EXP_0133,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],8
EXP_0069,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],10
EXP_0011,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10
EXP_0096,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3
EXP_0110,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],8
EXP_0001,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],6
EXP_0120,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9
EXP_0112,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],1
EXP_0065,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],3
EXP_0045,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7
EXP_0087,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],5
EXP_0029,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],2
EXP_0041,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7
EXP_0113,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3
EXP_0026,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],2
EXP_0024,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10
EXP_0118,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],6
EXP_0080,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4
EXP_0040,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1
EXP_0094,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],9
